Region,Institution Name,Institutional Type,Province,Municipality_City,Website Address,Fax_Telephone No.
17 - MIMAROPA,Palawan State University-Cuyo,SUC Satellite,Palawan,Cuyo,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,St. Anthony College-Calapan City,Private HEIs,Oriental Mindoro,Calapan City,sacci-online.com,(043) 286-2323; (043) 286- 2364; (043) 441-6634
17 - MIMAROPA,Mina de Oro Institute of Science and Technology,Private HEIs,Oriental Mindoro,Victoria,,(043) 285-5384
17 - MIMAROPA,Western Philippines University-Culion,SUC Satellite,Palawan,Culion,www.wpu.edu.ph,(048) 433-4367; 0919-3836791; 0921-3769389; 0998-8686989
17 - MIMAROPA,ACLC College of Calapan,Private HEIs,Oriental Mindoro,Calapan City,,(043) 441-0183
17 - MIMAROPA,Romblon State University-San Jose Campus,SUC Satellite,Romblon,San Jose,www.rsu.edu.ph,
17 - MIMAROPA,Palawan State University-Linapacan,SUC Satellite,Palawan,Linapacan,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,Mindoro State University-Bongabong Campus,SUC Satellite,Oriental Mindoro,Bongabong,www.minscat.edu.ph,(043) 283-5570
17 - MIMAROPA,Western Philippines University-Puerto Princesa,SUC Satellite,Palawan,Puerto Princesa City,www.wpu.edu.ph,(048) 433-4367; 0919-3836791; 0921-3769389; 0998-8686989
17 - MIMAROPA,Institute of Business Science and Medical Arts,Private HEIs,Oriental Mindoro,Pinamalayan,ibsmainc.weebly.com,(043) 284-3056
17 - MIMAROPA,Romblon State University-Romblon Campus,SUC Satellite,Romblon,Romblon,www.rsu.edu.ph,
17 - MIMAROPA,John Paul College,Private HEIs,Oriental Mindoro,Roxas,,(043) 289-2240
17 - MIMAROPA,Marinduque State College-Sta. Cruz Campus,SUC Satellite,Marinduque,Sta. Cruz,https://marinduquestatecollege.edu.ph,(042) 332-2028
17 - MIMAROPA,Romblon State University-Sta. Fe Campus,SUC Satellite,Romblon,Sta. Fe,www.rsu.edu.ph,
17 - MIMAROPA,EMA EMITS College Philippines,Private HEIs,Oriental Mindoro,Pinamalayan,,(043) 284-3974
17 - MIMAROPA,City College of Calapan,LUCs,Oriental Mindoro,Calapan City,,(043) 288-7013
17 - MIMAROPA,Clarendon College,Private HEIs,Oriental Mindoro,Roxas,http://clarendoncollegeph.com,(043) 289-2538; (043) 289-2389
17 - MIMAROPA,Western Philippines University-Busuanga,SUC Satellite,Palawan,Busuanga,www.wpu.edu.ph,(048) 433-4367; 0919-3836791; 0921-3769389; 0998-8686989
17 - MIMAROPA,Palawan Polytechnic College,Private HEIs,Palawan,Puerto Princesa City,ppci-edu.com,(048) 434-2393
17 - MIMAROPA,Occidental Mindoro State College-Murtha Campus,SUC Satellite,Occidental Mindoro,San Jose,www.omsc.edu.ph,(043) 457-0259
17 - MIMAROPA,Palawan State University-Sofronio Española,SUC Satellite,Palawan,Sofronio Española,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,"Palawan State University-San Rafael, Puerto Princesa City",SUC Satellite,Palawan,Puerto Princesa City,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,"Southwestern College of Maritime, Business and Technology",Private HEIs,Oriental Mindoro,Calapan City,www.scmbt.edu.ph,(043) 288-3038; (043) 441-6819; 0906-3514158
17 - MIMAROPA,Palawan State University- Brooke's Point,SUC Satellite,Palawan,Brooke's Point,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,Colegio De San Sebastian-Sablayan,Private HEIs,Occidental Mindoro,Sablayan,,
17 - MIMAROPA,Malindig Institute Foundation,Private HEIs,Marinduque,Sta. Cruz,,(042) 704-5156
17 - MIMAROPA,Abada College,Private HEIs,Oriental Mindoro,Pinamalayan,www.abadacollege.edu.ph,(043) 284-4387; (043) 284-4150; ;(043) 284-4063
17 - MIMAROPA,Western Philippines University-Quezon,SUC Satellite,Palawan,Quezon,www.wpu.edu.ph,(048) 433-4367; 0919-3836791; 0921-3769389; 0998-8686989
17 - MIMAROPA,Western Philippines University,SUC Main,Palawan,Aborlan,www.wpu.edu.ph,(048) 433-4367; 0919-3836791; 0921-3769389; 0998-8686989
17 - MIMAROPA,Western Philippines University-El Nido,SUC Satellite,Palawan,El Nido,www.wpu.edu.ph,(048) 433-4367; 0919-3836791; 0921-3769389; 0998-8686989
17 - MIMAROPA,Erhard Systems Technological Institute,Private HEIs,Romblon,Odiongan,www.esti.romblon.biz,(042) 567-5561; (042) 567-6264
17 - MIMAROPA,Occidental Mindoro State College-Sablayan Campus,SUC Satellite,Occidental Mindoro,Sablayan,www.omsc.edu.ph,(043) 457-0259
17 - MIMAROPA,Western Philippines University-Rio Tuba,SUC Satellite,Palawan,Bataraza,www.wpu.edu.ph,(048) 433-4367; 0919-3836791; 0921-3769389; 0998-8686989
17 - MIMAROPA,San Francisco Javier College,Private HEIs,Palawan,Narra,,0919-8569422
17 - MIMAROPA,Occidental Mindoro State College-Lubang Campus,SUC Satellite,,,,
17 - MIMAROPA,Palawan State University-Bataraza,SUC Satellite,Palawan,Bataraza,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,Palawan State University-Dumaran,SUC Satellite,Palawan,Dumaran,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,Romblon State University-Calatrava Campus,SUC Satellite,Romblon,Calatrava,www.rsu.edu.ph,0950-4328059
17 - MIMAROPA,Mindoro State University-Main Campus,SUC Main,Oriental Mindoro,Victoria,www.minscat.edu.ph,(043) 286-2368; 0917-3137288
17 - MIMAROPA,Holy Trinity University,Private HEIs,Palawan,Puerto Princesa City,www.htupalawan.com,(048) 433-2061; (048) 433-2161
17 - MIMAROPA,Educational Systems Technological Institute,Private HEIs,Marinduque,Boac,www.esti.edu.ph,(042) 332-1459; (042) 332-2068
17 - MIMAROPA,Fullbright College,Private HEIs,Palawan,Puerto Princesa City,,(048) 434-3097; (048) 434-3095
17 - MIMAROPA,STI College Puerto Princesa,Private HEIs,Palawan,Puerto Princesa City,www.sti.edu.ph,(048) 434-2765; (048) 434-7043
17 - MIMAROPA,Palawan State University-San Vicente,SUC Satellite,Palawan,San Vicente,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,Prince of Peace College,Private HEIs,Oriental Mindoro,Puerto Galera,,(043) 287-3012
17 - MIMAROPA,Pinamalayan Maritime Foundation and Technological College,Private HEIs,Oriental Mindoro,"Pinamalayan ",www.pmftci.edu.ph,(043) 284-3566; (043) 284-3777
17 - MIMAROPA,Innovative College of Science and Technology,Private HEIs,Oriental Mindoro,Bongabong,www.icst.edu.ph,(043) 283-5561; (043) 283-5521
17 - MIMAROPA,Occidental Mindoro State College,SUC Main,Occidental Mindoro,San Jose,www.omsc.edu.ph,(043) 457-0259
17 - MIMAROPA,Philippine Central Islands College Foundation,Private HEIs,Occidental Mindoro,San Jose,http://mindoro.esti.edu.ph,(043) 457-0140
17 - MIMAROPA,Palawan State University-Araceli,SUC Satellite,Palawan,Araceli,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,Palawan State University-Roxas,SUC Satellite,Palawan,Roxas,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,Romblon State University-Main,SUC Main,Romblon,Odiongan,www.rsu.edu.ph,(042) 567-5271; (042) 567-5859; (042) 567-5273
17 - MIMAROPA,Saint Augustine Seminary,Private HEIs,Oriental Mindoro,Calapan City,,(043) 288- 1535
17 - MIMAROPA,Grace Mission College,Private HEIs,Oriental Mindoro,Socorro,,
17 - MIMAROPA,Palawan State University-Rizal,SUC Satellite,Palawan,Rizal,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,San Lorenzo Ruiz Seminary,Private HEIs,Romblon,Odiongan,slrsseminary94.weebly.com,0918-6856150
17 - MIMAROPA,Romblon State University-Cajidiocan Campus,SUC Satellite,Romblon,Cajidiocan,www.rsu.edu.ph,0917-7358033
17 - MIMAROPA,Marinduque State College-Gasan Campus,SUC Satellite,Marinduque,Gasan,https://marinduquestatecollege.edu.ph,(042) 753-0386; (042) 332-2028
17 - MIMAROPA,Polytechnic University of the Philippines-Bansud Campus,SUC Satellite,Oriental Mindoro,Bansud,http://www.pup.edu.ph,(043) 298-7022
17 - MIMAROPA,Paradigm Colleges of Science and Technology,Private HEIs,Oriental Mindoro,Roxas,,(043) 289-2827; (043) 289-2016
17 - MIMAROPA,St. Mary's College of Marinduque,Private HEIs,Marinduque,Boac,,(042) 332-1870
17 - MIMAROPA,Marinduque Midwest College,Private HEIs,Marinduque,Gasan,,(042) 342 1014; (042) 342 1378
17 - MIMAROPA,Marinduque State College-Main Campus,SUC Main,Marinduque,Boac,https://marinduquestatecollege.edu.ph,(042) 332-2028
17 - MIMAROPA,Palawan State University,SUC Main,Palawan,Puerto Princesa City,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,Erhard Science and Technological Institute-Oriental Mindoro,Private HEIs,Oriental Mindoro,Gloria,www.esti.gloria.edu.ph,(02) 871-2886
17 - MIMAROPA,Palawan State University-Taytay,SUC Satellite,Palawan,Taytay,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,Palawan State University-Narra,SUC Satellite,Palawan,Narra,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,Mindoro State University-Calapan City Campus,SUC Satellite,Oriental Mindoro,Calapan City,www.minscat.edu.ph,(043) 286-7371; (043) 286-2368; (043) 286-2422
17 - MIMAROPA,Occidental Mindoro State College-Mamburao,SUC Satellite,Occidental Mindoro,Mamburao,www.omsc.edu.ph,(043) 457-0259
17 - MIMAROPA,Romblon State University-San Fernando Campus,SUC Satellite,Romblon,San Fernando,www.rsu.edu.ph,0916-4706284
17 - MIMAROPA,Divine Word College of Calapan,Private HEIs,Oriental Mindoro,Calapan City,www.dwcc.edu.ph,(043) 288-8686 local 104; (043) 288-5085; (043) 288 4567
17 - MIMAROPA,Palawan Technological College,Private HEIs,Palawan,Puerto Princesa City,www.ptci-edu.org,(048) 434-4518
16 - Caraga,Mt. Carmel College of San Francisco,Private HEIs,Agusan Del Sur,San Francisco,www.mcc.edu.ph,(085) 839-2161
16 - Caraga,University of Southeastern Philippines-Bislig Campus,SUC Satellite,Surigao Del Sur,Bislig City,www.usep.edu.ph,0948-6072624
16 - Caraga,Surigao Del Sur State University-Main,SUC Main,Surigao Del Sur,Tandag City,www.sdssu.edu.ph,(086) 214-4221
16 - Caraga,Saint Theresa College of Tandag,Private HEIs,Surigao Del Sur,Tandag City,www.stctandag.edu.ph,(086) 211-3046
16 - Caraga,Balite Institute of Technology-Butuan,Private HEIs,Agusan Del Norte,Butuan City,,(085) 815-4113
16 - Caraga,Hinatuan Southern College,LUCs,Surigao Del Sur,Hinatuan,,
16 - Caraga,Surigao Del Sur State University-Lianga,SUC Satellite,Surigao Del Sur,Lianga,www.sdssu.edu.ph,(086) 214-4221; 0920-6609263
16 - Caraga,Don Jose Ecleo Memorial Foundation College of Science and Technology,Private HEIs,Dinagat Islands,San Jose,djemfcst.com,0917-002009; 0919-3907506
16 - Caraga,Butuan City Colleges,Private HEIs,Agusan Del Norte,Butuan City,,(085) 300-3179; 0948-7538168
16 - Caraga,Saint Vincent de Paul Diocesan College,Private HEIs,Surigao Del Sur,Bislig City,,(086) 853-1635; (086) 628-2004
16 - Caraga,De La Salle John Bosco College,Private HEIs,Surigao Del Sur,Bislig City,www.dlsjbc.edu.ph,(086) 853-5235; (086) 853-3415
16 - Caraga,Candelaria Institute of Technology of Cabadbaran,Private HEIs,Agusan del Norte,Cabadbaran City,,(085) 343-0994; (085) 343-0176; (085) 343-0941
16 - Caraga,Surigao State College of Technology-Mainit,SUC Satellite,Surigao del Norte,Mainit,www.ssct.edu.ph,0907-3749953; 0947-1414746; 0948-4062491; 0918-4469060
16 - Caraga,St. Jude Thaddeus Institute of Technology,Private HEIs,Surigao Del Norte,Surigao City,,(086) 826-6112; (086) 826-7390
16 - Caraga,Caraga School of Business,Private HEIs,,,,
16 - Caraga,Elisa R. Ochoa Memorial Northern Mindanao School of Midwifery,Private HEIs,Agusan Del Norte,Butuan City,erom_nmsm.blogspot.com,(085) 342-5563; (085) 815-1279; (085) 342-5017
16 - Caraga,Surigao Del Sur State University-San Miguel,SUC Satellite,Surigao Del Sur,San Miguel,www.sdssu.edu.ph,0920-3069011; (086) 214-4221
16 - Caraga,Northeastern Mindanao Colleges,Private HEIs,Surigao Del Norte,Surigao City,www.nemco.edu.ph,(086) 826-5488; (086) 826-1764
16 - Caraga,Surigao Sur Colleges,Private HEIs,Surigao Del Sur,Barobo,,0930-2548194; 0946-5588188
16 - Caraga,Siargao Island Institute of Technology,Private HEIs,Surigao Del Norte,Dapa,www.siit.edu.ph,0947-9979464
16 - Caraga,Northern Mindanao Colleges,Private HEIs,Agusan Del Norte,Cabadbaran City,www.normi.edu.ph,(085) 818-5051
16 - Caraga,Southern Technological Institute of the Philippines,Private HEIs,Surigao Del Sur,Bislig City,www.stipbislig.webs.com,(086) 853-5005; (086) 628-2125
16 - Caraga,Asian College Foundation,Private HEIs,Agusan Del Norte,Butuan City,www.asiancollegefoundation.com,(085) 815-3646
16 - Caraga,Merchant Marine Academy of Caraga,Private HEIs,Agusan Del Norte,Butuan City,,(085) 817-0475
16 - Caraga,Philippine Electronics and Communication Institute of Technology,Private HEIs,Agusan del Norte,Butuan City,,(085) 341-7660; (085) 341-5882; (085) 225-5543
16 - Caraga,Agusan del Sur College,Private HEIs,Agusan Del Sur,Bayugan City,www.agusandelsurcollege.com,(085) 231-2150
16 - Caraga,Saint Michael College of Caraga,Private HEIs,Agusan Del Norte,Nasipit,www.smccnasipit.edu.ph,(085) 343-3251; (085) 343-3607; (085) 343-3251 local 102
16 - Caraga,Agusan Colleges,Private HEIs,Agusan Del Norte,Butuan City,www.agusancolleges.edu.ph,(085) 342-8004; (085) 225-2330
16 - Caraga,Holy Child Colleges of Butuan City,Private HEIs,Agusan Del Norte,Butuan City,www.holychildcollegesbutuan.com,(085) 342-3975
16 - Caraga,ACLC College of Butuan City,Private HEIs,Agusan Del Norte,Butuan City,www.aclc.edu.ph,(085) 341-5719; (085) 225-6200; 0908-8944410
16 - Caraga,Agusan Del Sur State College of Agriculture and Technology,SUC Main,Agusan Del Sur,Bunawan,http://asscat.edu.ph,0999-7490294
16 - Caraga,Saint Francis Xavier College,Private HEIs,Agusan Del Sur,San Francisco,http://www.sfxaviercollege.com,(085) 839-2284; (085) 343-8327; (085) 242-2016
16 - Caraga,Northwestern Agusan Colleges,Private HEIs,Agusan Del Norte,Nasipit,,(085) 283-3759; (085) 343-2122
16 - Caraga,Surigao Doctors' College,Private HEIs,Surigao del Norte,Surigao City,,(086) 826-0417
16 - Caraga,St. Paul University Surigao,Private HEIs,Surigao Del Norte,Surigao City,http://www.spusurigao.edu.ph/,(086) 826-4325; (086) 826-1724; (086) 826-2567; (086) 826-4325; (086) 231-7440
16 - Caraga,Caraga State University-Cabadbaran Campus,SUC Satellite,Agusan Del Norte,Cabadbaran City,www.csucc.carsu.edu.ph,(085) 343-1020
16 - Caraga,Surigao Education Center,Private HEIs,Surigao Del Norte,Surigao City,www.sec.edu.ph,(086) 231-7048; (086) 826-2007
16 - Caraga,Surigao Del Sur State University-Cagwait,SUC Satellite,Surigao Del Sur,Cagwait,www.sdssu.edu.ph,(086) 214-4221; 0909-6342646
16 - Caraga,Surigao State College of Technology-Del Carmen,SUC Satellite,Surigao Del Norte,Del Carmen,www.ssct.edu.ph,0946-8982586; (086) 826-3908; 0998-5445426
16 - Caraga,Southway College of Technology,Private HEIs,Agusan Del Sur,San Francisco,http://www.socotech.edu.ph,(085) 839-1170; (085) 839-4476
16 - Caraga,Caraga Institute of Technology,Private HEIs,Agusan Del Norte,Kitcharao,,0905-4894181; 0906-3664053; 0917-7173008
16 - Caraga,Surigao Del Sur State University-Tagbina,SUC Satellite,Surigao Del Sur,Tagbina,www.sdssu.edu.ph,0920-3051288; (086) 214-4221; 0939-9263797
16 - Caraga,Bucas Grande Foundation College,Private HEIs,Surigao Del Norte,Socorro,,0939-9072205; 0949-7520474
16 - Caraga,Saint Joseph Institute of Technology,Private HEIs,Agusan Del Norte,Butuan City,sjit.edu.ph,(085) 225-5039; (085) 225-6228; (085) 342-5448; (085) 342-5695; (085) 342-5694
16 - Caraga,Saint Michael College-Cantilan,Private HEIs,Surigao Del Sur,Cantilan,www.smccantilan.edu.ph,(086) 212-5194
16 - Caraga,Philippine Normal University-Mindanao Campus,SUC Satellite,Agusan Del Sur,Prosperidad,www.pnumindanao.com,(085) 241-3085; (085) 342-7106
16 - Caraga,Surigao State College of Technology-Main,SUC Main,Surigao Del Norte,Surigao City,www.ssct.edu.ph,(086) 826-6346; (086) 826-6443
16 - Caraga,Surigao State College of Technology-Malimono,SUC Satellite,Surigao Del Norte,Malimono,www.ssct.edu.ph,0918-3128954; 0948-2644051; 0921-5313072
16 - Caraga,Saint Peter College Seminary,Private HEIs,Agusan Del Norte,Butuan City,http://spcs.clan.ac,(085) 342-3757
16 - Caraga,Surigao Del Sur State University-Cantilan,SUC Satellite,Surigao Del Sur,Cantilan,www.sdssu.edu.ph,(086) 212-5132; (086) 212-5237
16 - Caraga,Father Saturnino Urios University,Private HEIs,Agusan Del Norte,Butuan City,www.urios.edu.ph,(085) 342-1830 loc 1102; (085) 815-3418; (085) 342-1830 loc 1102
16 - Caraga,Butuan Doctors' College,Private HEIs,Agusan Del Norte,Butuan City,,(085) 342-8572; (085) 225-3616
16 - Caraga,STI College Surigao,Private HEIs,Surigao Del Norte,Surigao City,www.stisurigao.edu,(086) 826-8087
16 - Caraga,Andres Soriano Colleges of Bislig,Private HEIs,Surigao Del Sur,Bislig City,http://www.ascofbislig.com/,(086) 853-2306; (086) 853-2241
16 - Caraga,Caraga State University-Main Campus,SUC Main,Agusan Del Norte,Butuan City,http://www.carsu.edu.ph,(085) 342-3047; (085) 342-1079; (085) 341-8677
16 - Caraga,San Francisco Colleges,Private HEIs,Agusan Del Sur,San Francisco,,(085) 839-2200; (085) 343-8575; 0918-9178436
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Muslim Mindanao Integrated College Academy,Private HEIs,Lanao del Sur,Marawi City,,
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Regional Madrasah Graduate Academy,Other Gov't Sch.,Maguindanao,Buluan,,
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Jamiatu Muslim Mindanao,Private HEIs,Lanao Del Sur,Marawi City,www.jmm.edu.ph,0917-7042706; 0917-7042707
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Tawi-Tawi Regional Agricultural College-Simunul,SUC Satellite,Tawi-Tawi,Simunul,www.trac.edu.ph,
15 - Bangsamoro Autonomous Region in Muslim Mindanao,St. Benedict College of Maguindanao,Private HEIs,Maguindanao,Parang,,(064) 421-1969
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Mariam School of Nursing,Private HEIs,Basilan,Lamitan City,,(062) 991-4367; 0910-7053623; (062) 991-2365
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Lamitan Technical Institute,Private HEIs,Basilan,Lamitan City,,
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Tawi-Tawi Regional Agricultural College - Tarawakan,SUC Satellite,Tawi-Tawi,Bongao,www.trac.edu.ph,
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Adiong Memorial Polytechnic State College,SUC Main,Lanao Del Sur,Ditsaan Ramain,,0920-2721901; 0939-9249075
15 - Bangsamoro Autonomous Region in Muslim Mindanao,SAL Foundation College,Private HEIs,Maguindanao,Parang,www//salfoundationcollege,0919-4156869
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Basilan State College-Lamitan,SUC Satellite,Basilan,Lamitan City,www.BasSc.edu.ph,(062) 200-7523; (062) 200-3817; (062) 200-7705
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Mindanao Capitol College,Private HEIs,Maguindanao,Cotabato City,,(064) 552-0642
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Lake Lanao College,Private HEIs,Lanao Del Sur,Marawi City,Lake Lanao.Blog,0916-2730229
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Universal College Foundation of Southeast Asia and the Pacific,Private HEIs,Basilan,Lamitan City,universalfoundationcollege.asia,(062) 955-3899
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Mindanao Autonomous College Foundation-Maluso,Private HEIs,Basilan,Maluso,,09772372785
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Gani L. Abpi College,Private HEIs,Maguindanao,Datu Piang,,0909-3943862; 0922-8076050
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Lanao Islamic Paramedical College Foundation,Private HEIs,Lanao Del Sur,Marawi City,,0929-4130948
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Hardam Furigay Colleges Foundation,Private HEIs,Basilan,Lamitan City,www.furigay.edu.ph,
15 - Bangsamoro Autonomous Region in Muslim Mindanao,University of Southern Mindanao - Buluan,SUC Satellite,Maguindanao,Buluan,,
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Basilan State College-Maluso,SUC Satellite,Basilan,Maluso,www.BasSc.edu.ph,(062) 200-7523; (062) 200-3817; (062) 200-7705
15 - Bangsamoro Autonomous Region in Muslim Mindanao,SPA College,Private HEIs,Maguindanao,Datu Piang,,0906-2690275
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Basilan State College-Sta. Clara,SUC Satellite,Basilan,Lamitan City,www.BasSc.edu.ph,(062) 200-7523; (062) 200-3817; (062) 200-7705
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Mindanao Autonomous College Foundation,Private HEIs,Basilan,Lamitan City,,
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Cotabato Foundation College of Science and Technology-Datu Montawal Campus,SUC Satellite,Maguindanao,Datu Montawal,,
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Philippine Muslim Teachers' College,Private HEIs,Lanao Del Sur,Marawi City,,0919-6499279
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Sultan Kudarat Islamic Academy Foundation College,Private HEIs,Maguindanao,Sultan Kudarat (Nuling),,(064) 421-4386
15 - Bangsamoro Autonomous Region in Muslim Mindanao,South Upi College,Private HEIs,Maguindanao,South Upi,,0916-1292645
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Binnor Pangandaman Integrated College,Private HEIs,Lanao del Sur,Wao,,0909-5934330; 0906-5554782
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Sulu College of Technology,Private HEIs,Sulu,Indanan,,0926-1612507; 0927-4074930
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Parang Foundation College,Private HEIs,Maguindanao,Parang,,0906-9011044
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Asma Khadijah Islamic Academy,Private HEIs,Lanao del Sur,Picong (Sultan Gumander),,0938-1746019
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Mindanao Islamic Computer College,Private HEIs,Lanao Del Sur,Marawi City,,0919-8584940
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Eastern Kutawato College,Private HEIs,Maguindanao,Buluan,,0917-9764499
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Hadji Datu Saidona Pendatun Foundation College,Private HEIs,Maguindanao,Gen. S.K. Pendatun,,0915-6662716
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Philippine Last Frontier College,Private HEIs,Tawi-Tawi,Bongao,,0997-9435384
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Tawi-Tawi School of Midwifery,Private HEIs,Tawi-Tawi,Bongao,,
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Khadijah Mohammad Islamic Academy,Private HEIs,Lanao Del Sur,Marawi City,,0939-9193045
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Tawi-Tawi Regional Agricultural College - Sibutu,SUC Satellite,Tawi-Tawi,Sibutu,www.trac.edu.ph,
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Saffrullah M. Dipatuan Foundation Academy,Private HEIs,Lanao Del Sur,Marawi City,www.smdfa-edu.ning.com,0921-4624040; 0919-5296218
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Mindanao Institute of Healthcare Professionals,Private HEIs,Lanao Del Sur,Marawi City,www.mihp.edu.ph,0906-9150234
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Iqra Development Academy,Private HEIs,Lanao del Sur,Tamparan,,0977-7200247; 0945-2146767
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Headstart College of Cotabato,Private HEIs,Maguindanao,Cotabato City,,(064) 421-6571; (064) 421-7338
15 - Bangsamoro Autonomous Region in Muslim Mindanao,Colegio de Upi,Private HEIs,Maguindanao,Upi,,0936-4208616
